data_folder,FSD_MIX_SED_filename,start_time,label
base/train,soundscape_66976.wav,6.13,0
base/train,soundscape_36642.wav,0.83,0
base/train,soundscape_60963.wav,6.89,0
base/train,soundscape_201785.wav,2.23,0
base/train,soundscape_183576.wav,2.06,0
base/train,soundscape_45990.wav,1.66,0
base/train,soundscape_24896.wav,3.43,0
base/train,soundscape_88331.wav,6.23,0
base/train,soundscape_21568.wav,7.63,0
base/train,soundscape_39714.wav,2.49,0
base/train,soundscape_41160.wav,2.47,0
base/train,soundscape_80591.wav,1.11,0
base/train,soundscape_140862.wav,7.7,0
base/train,soundscape_64935.wav,3.25,0
base/train,soundscape_44591.wav,6.8,0
base/train,soundscape_187898.wav,1.31,0
base/train,soundscape_4527.wav,4.43,0
base/train,soundscape_70027.wav,0.09,0
base/train,soundscape_116376.wav,1.84,0
base/train,soundscape_183237.wav,1.65,0
base/train,soundscape_195431.wav,3.42,0
base/train,soundscape_49228.wav,7.96,0
base/train,soundscape_197587.wav,0.05,0
base/train,soundscape_104563.wav,1.56,0
base/train,soundscape_167744.wav,3.61,0
base/train,soundscape_130709.wav,6.44,0
base/train,soundscape_120462.wav,4.31,0
base/train,soundscape_138988.wav,2.64,0
base/train,soundscape_45089.wav,9.0,0
base/train,soundscape_11015.wav,4.97,0
base/train,soundscape_94524.wav,5.01,0
base/train,soundscape_90636.wav,4.63,0
base/train,soundscape_4679.wav,1.97,0
base/train,soundscape_147730.wav,2.37,0
base/train,soundscape_3791.wav,2.49,0
base/train,soundscape_74663.wav,3.69,0
base/train,soundscape_27493.wav,6.44,0
base/train,soundscape_54244.wav,4.93,0
base/train,soundscape_34466.wav,6.32,0
base/train,soundscape_56074.wav,4.59,0
base/train,soundscape_36114.wav,5.51,0
base/train,soundscape_61191.wav,1.65,0
base/train,soundscape_182953.wav,0.66,0
base/train,soundscape_15658.wav,8.25,0
base/train,soundscape_159653.wav,8.71,0
base/train,soundscape_131249.wav,4.71,0
base/train,soundscape_73370.wav,5.46,0
base/train,soundscape_156939.wav,8.29,0
base/train,soundscape_142643.wav,4.67,0
base/train,soundscape_127269.wav,1.05,0
base/train,soundscape_37486.wav,0.56,0
base/train,soundscape_135083.wav,4.4,0
base/train,soundscape_53150.wav,5.02,0
base/train,soundscape_228.wav,7.62,0
base/train,soundscape_79984.wav,4.6,0
base/train,soundscape_136409.wav,1.27,0
base/train,soundscape_103221.wav,5.44,0
base/train,soundscape_201862.wav,5.06,0
base/train,soundscape_130020.wav,3.09,0
base/train,soundscape_84795.wav,4.77,0
base/train,soundscape_181992.wav,2.67,0
base/train,soundscape_157975.wav,8.78,0
base/train,soundscape_52623.wav,1.1,0
base/train,soundscape_92561.wav,2.2,0
base/train,soundscape_167299.wav,0.01,0
base/train,soundscape_105814.wav,2.06,0
base/train,soundscape_203538.wav,0.27,0
base/train,soundscape_84479.wav,7.11,0
base/train,soundscape_6275.wav,7.23,0
base/train,soundscape_89854.wav,5.77,0
base/train,soundscape_57296.wav,6.27,0
base/train,soundscape_151225.wav,6.57,0
base/train,soundscape_155394.wav,5.07,0
base/train,soundscape_135832.wav,8.8,0
